YEAR,INFLATION,INFLATION,PRICE
1914,1,1.01,100
1915,1,1.01,101
1916,7.9,1.079,102.01
1917,17.4,1.174,110.06879
1918,18,1.18,129.2207595
1919,14.6,1.146,152.4804962
1920,15.6,1.156,174.7426486
1921,-10.5,0.895,202.0025018
1922,-6.1,0.939,180.7922391
1923,1.8,1.018,169.7639125
1924,0,1,172.8196629
1925,2.3,1.023,172.8196629
1926,1.1,1.011,176.7945152
1927,-1.7,0.983,178.7392549
1928,-1.7,0.983,175.7006875
1929,0,1,172.7137758
1930,-2.3,0.977,172.7137758
1931,-9,0.91,168.741359
1932,-9.9,0.901,153.5546367
1933,-5.1,0.949,138.3527276
1934,3.1,1.031,131.2967385
1935,2.2,1.022,135.3669374
1936,1.5,1.015,138.3450101
1937,3.6,1.036,140.4201852
1938,-2.1,0.979,145.4753119
1939,-1.4,0.986,142.4203303
1940,0.7,1.007,140.4264457
1941,5,1.05,141.4094308
1942,10.9,1.109,148.4799024
1943,6.1,1.061,164.6642117
1944,1.7,1.017,174.7087286
1945,2.3,1.023,177.678777
1946,8.3,1.083,181.7653889
1947,14.4,1.144,196.8519162
1948,8.1,1.081,225.1985921
1949,-1.2,0.988,243.4396781
1950,1.3,1.013,240.5184019
1951,7.9,1.079,243.6451411
1952,1.9,1.019,262.8931073
1953,0.8,1.008,267.8880763
1954,0.7,1.007,270.0311809
1955,-0.4,0.996,271.9213992
1956,1.5,1.015,270.8337136
1957,3.3,1.033,274.8962193
1958,2.8,1.028,283.9677946
1959,0.7,1.007,291.9188928
1960,1.7,1.017,293.9623251
1961,1,1.01,298.9596846
1962,1,1.01,301.9492814
1963,1.3,1.013,304.9687742
1964,1.3,1.013,308.9333683
1965,1.6,1.016,312.9495021
1966,2.9,1.029,317.9566941
1967,3.1,1.031,327.1774383
1968,4.2,1.042,337.3199388
1969,5.5,1.055,351.4873763
1970,5.7,1.057,370.819182
1971,4.4,1.044,391.9558753
1972,3.2,1.032,409.2019339
1973,6.2,1.062,422.2963957
1974,11,1.11,448.4787723
1975,9.1,1.091,497.8114372
1976,5.8,1.058,543.112278
1977,6.5,1.065,574.6127901
1978,7.6,1.076,611.9626215
1979,11.3,1.113,658.4717807
1980,13.5,1.135,732.879092
1981,10.3,1.103,831.8177694
1982,6.2,1.062,917.4949996
1983,3.2,1.032,974.3796896
1984,4.3,1.043,1005.55984
1985,3.6,1.036,1048.798913
1986,1.9,1.019,1086.555674
1987,3.6,1.036,1107.200231
1988,4.1,1.041,1147.05944
1989,4.8,1.048,1194.088877
1990,5.4,1.054,1251.405143
1991,4.2,1.042,1318.981021
1992,3,1.03,1374.378223
1993,3,1.03,1415.60957
1994,2.6,1.026,1458.077857
1995,2.8,1.028,1495.987882
1996,3,1.03,1537.875542
1997,2.3,1.023,1584.011808
1998,1.6,1.016,1620.44408
1999,2.2,1.022,1646.371185
2000,3.4,1.034,1682.591351
2001,2.8,1.028,1739.799457
2002,1.6,1.016,1788.513842
2003,2.3,1.023,1817.130064
2004,2.7,1.027,1858.924055
2005,3.4,1.034,1909.115005
2006,3.2,1.032,1974.024915
2007,2.8,1.028,2037.193712
2008,3.8,1.038,2094.235136
2009,-0.4,0.996,2173.816071
2010,1.6,1.016,2165.120807
2011,3.2,1.032,2199.76274
2012,2.1,1.021,2270.155147
2013,1.5,1.015,2317.828406
2014,1.6,1.016,2352.595832
2015,0.1,1.001,2390.237365
